Run,num_encoder_layers,num_decoder_layers,d_model,num_heads,dff,dropout_rate,loss,volatility_type,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,,
1,0,8,12,4,6,0.1,0.009905597195029260,volatile,740.9060546875,405.315625,293.5236328125,41.5009765625,1979.95078125,-1.3228515625,,,,,,,,,,,,,,
2,0,8,12,4,6,0.1,0.0300583653151989,volatile,-135.10908203125,733.57978515625,-44.243359375,720.224609375,1379.89267578125,-0.77265625,,,,,,,,,,,,,,
3,0,8,12,4,6,0.1,0.01779501885175710,volatile,1165.9515625,1754.205078125,-300.805859375,552.0416015625,953.56015625,1.6216796875,,,,,,,,,,,,,,
4,0,8,12,4,6,0.1,0.01642914116382600,volatile,-392.17041015625,-353.43017578125,1262.26416015625,-290.2115234375,-323.158984375,-2.42060546875,,,,,,,,,,,,,,
5,0,8,12,4,6,0.1,0.020634066313505200,volatile,-12.31669921875,-438.0822265625,-420.98251953125,-440.11279296875,-128.260546875,-3.00009765625,,,,,,,,,,,,,,
1,0,8,12,4,6,0.2,0.015503901988267900,volatile,-375.684375,-424.846875,99.6302734375,787.8921875,72.9845703125,-0.38984375,,,,,,,,,,,,,,
2,0,8,12,4,6,0.2,0.02217954210937020,volatile,-472.08369140625,-236.75126953125,-224.1537109375,-436.01162109375,564.19521484375,-0.9244140625,,,,,,,,,,,,,,
3,0,8,12,4,6,0.2,0.00802218820899725,volatile,124.2849609375,-228.83359375,972.5693359375,1646.862890625,1242.166015625,-0.308984375,,,,,,,,,,,,,,
4,0,8,12,4,6,0.2,0.012314793653786200,volatile,-444.1662109375,439.13046875,490.0234375,-232.8724609375,-422.4994140625,-0.6765625,,,,,,,,,,,,,,
5,0,8,12,4,6,0.2,0.012050779536366500,volatile,-377.265625,933.87421875,-410.8453125,-12.2869140625,-327.6826171875,-0.959765625,,,,,,,,,,,,,,
1,0,8,12,4,6,0.3,0.016013748943805700,volatile,-450.06064453125,101.25615234375,-433.65380859375,-450.7017578125,819.4384765625,-1.4943359375,,,,,,,,,,,,,,
2,0,8,12,4,6,0.3,0.021394912153482400,volatile,164.6361328125,-458.364453125,-178.7908203125,-441.069140625,58.524609375,-1.3740234375,,,,,,,,,,,,,,
3,0,8,12,4,6,0.3,0.01680620387196540,volatile,2677.2033203125,-228.593359375,-302.74296875,-143.7365234375,796.4236328125,-1.0845703125,,,,,,,,,,,,,,
4,0,8,12,4,6,0.3,0.006192563101649280,volatile,4359.09609375,-270.545703125,-346.67001953125,94.54697265625,-443.80498046875,-1.06875,,,,,,,,,,,,,,
5,0,8,12,4,6,0.3,0.023308373987674700,volatile,-267.2404296875,-112.87802734375,886.53505859375,17.773828125,47.6625,-2.57529296875,,,,,,,,,,,,,,
1,0,8,12,4,12,0.1,0.01861448772251610,volatile,-528.83271484375,316.5544921875,-426.22548828125,-424.1501953125,-165.9921875,0.2818359375,,,,,,,,,,,,,,
